type,title,release_year,rating,listed_in,description,service
Movie,Pluto's Purchase,1948,TV-G,"Animation, Family",Pluto is in for a surprise when Mickey sends him to buy a salami. See details for advisory.,disney plus
TV Show,Tron Uprising,2011,TV-Y7,"Action-Adventure, Animation, Kids","Inside the computer world of the grid, Beck becomes the unlikely leader of a revolution.",disney plus
Movie,A Celebration of the Music from Coco,2020,TV-PG,"Concert Film, Music, Musical",“Coco” is brought to life on stage with musical performances at the historic Hollywood Bowl.,disney plus
TV Show,Disney Playtime with Puppy Dog Pals (Shorts),2017,TV-Y,"Animation, Kids",Come play with the Puppy Dog Pals!,disney plus
Movie,"Maggie Simpson in ""Playdate with Destiny""",2020,G,"Animation, Comedy",A heroic baby saves Maggie Simpson from playground peril – and steals her heart.,disney plus
TV Show,Paradise Islands,2017,TV-PG,"Animals & Nature, Docuseries, Family",The islands that lie between Asia and Australia can claim to be the biologically richest on earth.,disney plus
TV Show,Tut's Treasures: Hidden Secrets,2018,TV-PG,"Docuseries, Historical",The pharaoh’s priceless grave goods are being reunited for the first time since their discovery.,disney plus
Movie,A Tale of Two Critters,1977,G,"Animals & Nature, Family",A bear cub and a raccoon become fast friends. See details for advisory.,disney plus
Movie,All in a Nutshell,1949,TV-G,"Animation, Family",Donald steals Chip and Dale's nuts and ends up in a lake. See details for advisory.,disney plus
Movie,Disneynature Penguins,2019,G,"Animals & Nature, Documentary, Family",Steve the penguin embarks on an epic quest to find love and start a family.,disney plus
Movie,Diving with Dolphins,2020,G,"Animals & Nature, Documentary, Family",Disneynature explores the making of Dolphin Reef. Céline Cousteau narrates English-language version.,disney plus
Movie,Dolphin Reef,2018,G,"Animals & Nature, Documentary, Family",A playful young dolphin named Echo must master his vital role in the coral reef community.,disney plus
Movie,Don's Fountain of Youth,1953,TV-G,"Animation, Family",Donald's trick at the fountain of youth is cut short by an alligator. See details for advisory.,disney plus
Movie,Donald's Dog Laundry,1940,TV-G,"Animation, Family",Donald entices Pluto to try his mechanical dog washer. See details for advisory.,disney plus
Movie,Double Dribble,1946,TV-G,"Animation, Family, Sports",Goofy explores the wonderful world of basketball. See details for advisory.,disney plus
Movie,Dragon Around,1954,TV-G,"Animation, Family",Chip and Dale defend their home against Donald's dragon-like steam shovel. See details for advisory.,disney plus
Movie,Elephant,2020,G,"Animals & Nature, Documentary, Family",African elephant Shani and her spirited son Jomo make the epic journey of their ancestors.,disney plus
Movie,Elmer Elephant,1936,TV-G,"Animation, Family",An elephant is ashamed of his trunk until he saves his friend with it. See details for advisory.,disney plus
TV Show,Fish Hooks,2010,TV-G,"Animation, Comedy, Coming of Age","Milo, Bea and Oscar are three BFFs, best fish friends.",disney plus
Movie,How To Play Football,1944,TV-G,"Animation, Family, Parody",Goofy demonstrates the game of football. See details for advisory.,disney plus
Movie,In the Footsteps of Elephant,2020,G,"Animals & Nature, Documentary, Family",Filmmakers capture an epic journey through the Kalahari Desert for Disneynature’s “Elephant.”,disney plus
Movie,"Lambert, The Sheepish Lion",1952,TV-G,"Animation, Family",A mix-up finds a little lion cub in the care of a gentle flock of sheep.,disney plus
Movie,On Ice,1935,TV-G,"Animation, Comedy, Family",Mickey and friends enjoy skating on a frozen river. See details for advisory.,disney plus
Movie,Onward,2020,PG,"Action-Adventure, Animation, Comedy",Two elf brothers embark on an extraordinary quest in Disney and Pixar’s ONWARD!,disney plus
Movie,Out of Scale,1951,TV-G,"Animation, Family","Donald declares Chip n Dale's tree ""out of scale"" for his train set. See details for advisory.",disney plus
Movie,Penguins: Life on the Edge,2020,G,"Animals & Nature, Documentary, Family",A witty and tenacious team of filmmakers brave the Antarctic to film Disneynature’s “Penguins.”,disney plus
Movie,Pluto's Party,1952,TV-G,"Animation, Family",It's Pluto's birthday party!,disney plus
Movie,Sea Scouts,1939,TV-PG,"Animation, Family",Donald and his nephews encounter a shark. See details for advisory.,disney plus
TV Show,Sonny With A Chance,2008,TV-G,"Comedy, Coming of Age, Romance",A teen girl is selected from a nationwide search to join the cast of a sketch-comedy series.,disney plus
Movie,The Boy Who Talked to Badgers,1975,TV-PG,"Action-Adventure, Animals & Nature, Drama",A young farm boy relies on the help of a badger to survive the wilderness. See details for advisory.,disney plus
Movie,The New Neighbor,1953,TV-G,"Animation, Family",Sparks fly when Donald moves next door to Pete and his reckless dog. See details for advisory.,disney plus
Movie,The Small One,1978,TV-PG,"Animation, Family, Historical",A young boy discovers the true spirit of the Christmas season. See details for advisory.,disney plus
Movie,The Straight Story,1999,G,"Biographical, Drama",Story of a man who takes a six week trip on his riding lawn mower.,disney plus
Movie,Frankenweenie,2012,PG,"Animation, Comedy, Drama",Disney presents a comic twist on a classic tale from Tim Burton.,disney plus
Movie,Mars Needs Moms,2011,PG,"Action-Adventure, Animation, Family",Nine-year-old Milo sets out to save his mom when she is abducted by Martians.,disney plus
Movie,Prom,2011,PG,"Comedy, Coming of Age, Drama","At Prom, every couple has a story, and no two are exactly alike.",disney plus
Movie,The Last Song,2010,PG,"Coming of Age, Drama, Music",A rebellious daughter and her estranged father try to restore the loving relationship they once had.,disney plus
Movie,The Odd Life of Timothy Green,2012,PG,"Drama, Family, Fantasy",An unexpected surprise arrives on the doorstep of a couple who can't have children of their own.,disney plus
TV Show,Be Our Chef,2020,TV-G,"Family, Game Show / Competition",Angela Kinsey hosts five families in a Disney-inspired cooking competition.,disney plus
Movie,A Wrinkle in Time,2018,PG,"Action-Adventure, Coming of Age, Family",Meg travels through time and space to find her father.,disney plus
TV Show,Disney I Didn't Do It,2013,TV-G,"Comedy, Family",Fraternal twins try to explain exactly what just happened.,disney plus
TV Show,Disney Insider,2020,TV-PG,"Anthology, Docuseries","“Disney Insider” tells the stories behind Disney’s films, parks, destinations, toys & more.",disney plus
TV Show,Disney Vampirina Ghoul Girls Rock! (Shorts),2017,TV-Y7,"Animation, Fantasy, Kids",Rock out to music videos from The Ghoul Girls!,disney plus
Movie,G-Force,2009,PG,"Action-Adventure, Comedy, Family",Four highly trained FBI guinea pigs set out to save the world.,disney plus
Movie,Frozen 2,2019,PG,"Action-Adventure, Animation, Family",Elsa journeys into the unknown to uncover truths about the past.,disney plus
Movie,Stargirl,2020,PG,"Coming of Age, Drama, Musical",A coming-of-age story about a high schooler who finds himself drawn to the free-spirited new girl.,disney plus
Movie,The Finest Hours,2016,PG-13,"Action-Adventure, Disaster, Drama",Based on a true story of the Coast Guard’s most daring rescue.,disney plus
Movie,The Sandlot: Heading Home,2007,PG,"Comedy, Family, Sports","An egotistical baseball star wakes up as a 12-year-old on his childhood playing field, the sandlot.",disney plus
Movie,Bedtime Stories,2008,PG,"Comedy, Family, Fantasy",A hotel handyman's bedtime stories go from fantasy to reality.,disney plus
Movie,Marvel Studios' Black Panther,2018,PG-13,"Action-Adventure, Science Fiction, Superhero",T’Challa battles a powerful foe when his homeland of Wakanda is threatened.,disney plus
TV Show,101 Dalmatian Street,2018,TV-Y7,"Action-Adventure, Animation, Comedy",Pups Dolly and Dylan adventure to find their spots.,disney plus
Movie,Disney Phineas and Ferb: Phineas and Ferb Star Wars,2014,TV-G,"Action-Adventure, Animation, Musical","Phineas, Ferb and the gang meet some iconic Star Wars characters.",disney plus
TV Show,Shop Class,2020,TV-G,"Family, Game Show / Competition",Teams are challenged with designing and building their very unique creations.,disney plus
Movie,Viking Warrior Women,2019,TV-PG,"Documentary, Historical",New discoveries challenge everything we thought we knew about Viking warriors.,disney plus
TV Show,Star Wars Resistance,2018,TV-Y7,"Action-Adventure, Animation, Kids","Kaz begins his spy mission, but is in over his head.",disney plus
TV Show,Lost Cities With Albert Lin,2019,TV-PG,"Action-Adventure, Docuseries, Historical",This series delivers stories with hi-tech imagery to bring the mysteries of the past to life.,disney plus
Movie,Marvel Rising: Operation Shuri,2019,TV-Y7,"Action-Adventure, Animation, Coming of Age",The Secret Warriors show Shuri how to be a teenager.,disney plus
Movie,Marvel Rising: Playing With Fire,2019,TV-Y7,"Action-Adventure, Animation, Coming of Age",The Secret Warriors help Inferno recover his powers.,disney plus
TV Show,Star Wars: The Clone Wars,2008,TV-PG,"Action-Adventure, Animation, Science Fiction","The saga continues, set in a faraway galaxy!",disney plus
Movie,Marvel's Iron Man & Hulk: Heroes United,2013,PG,"Action-Adventure, Animation, Science Fiction",Avengers Iron Man and Hulk team up to fight an energy-devouring monster.,disney plus
Movie,Because of Winn-Dixie,2005,PG,"Comedy, Drama, Family","A heartwarming tale of a girl whose life is changed by a scruffy, fun-loving pooch named Winn-Dixie.",disney plus
TV Show,Fairy Tale Weddings,2017,TV-PG,"Docuseries, Family, Lifestyle",A behind-the-scenes look at Disney's magical weddings.,disney plus
Movie,"My Dog, the Thief",1969,TV-PG,"Action-Adventure, Comedy, Family",A St. Bernard lifts a million-dollar necklace from a team of jewel thieves.,disney plus
Movie,Splash,1984,TV-PG,"Comedy, Fantasy, Romance",Allen Bauer (Tom Hanks) is rescued at sea by the mermaid of his dreams.,disney plus
TV Show,That's So Raven,2002,TV-G,"Comedy, Coming of Age, Fantasy",Raven Baxter is a typical teenager who just happens to be psychic.,disney plus
Movie,Timmy Failure: Mistakes Were Made,2020,PG,"Buddy, Comedy, Drama",“Timmy Failure” follows the hilarious exploits of a boy who operates a Portland detective agency.,disney plus
Movie,Toy Story 4,2019,G,"Action-Adventure, Animation, Comedy",Pixar Animation Studios proudly presents the adventure of a lifetime!,disney plus
Movie,Descendants 3,2019,TV-G,"Coming of Age, Fantasy, Musical",A barrier breach jeopardizes the safety of Auradon.,disney plus
Movie,Around the World in 80 Days,2004,PG,"Action-Adventure, Comedy, Family",Phileas Fogg tries to beat the clock in a race around the world.,disney plus
Movie,Big Business,1988,PG,Comedy,"Two sets of identical twins, mismatched at birth, cross paths years later.",disney plus
Movie,Lamp Life,2020,TV-G,"Animation, Comedy, Family",Lamp Life answers the question of what happened to Bo Peep since we last we saw her in Toy Story 2.,disney plus
Movie,The Lion King,2019,PG,"Action-Adventure, Coming of Age, Drama",Disney’s The Lion King comes to life in a whole new way.,disney plus
TV Show,Diary of a Future President,2020,TV-PG,"Comedy, Coming of Age, Family","Elena Cañero-Reed will one day become the U.S. President, but for now, she’s in middle school.",disney plus
TV Show,High School Musical: The Musical: The Series: The Sing-Along,2019,TV-PG,"Comedy, Coming of Age, Drama",Sing along as the East High Wildcats put on a production of High School Musical: The Musical!,disney plus
TV Show,America's National Parks,2015,TV-14,"Animals & Nature, Docuseries",Experience the breathtaking landscapes and majestic animals of eight U.S. National Parks.,disney plus
TV Show,Continent 7: Antarctica,2016,TV-PG,"Action-Adventure, Animals & Nature, Docuseries",Experience how science is conducted as scientists and survival experts join forces in Antarctica.,disney plus
TV Show,Disney Randy Cunningham: 9th Grade Ninja,2011,TV-Y7,"Action-Adventure, Animation, Comedy",Randy is an average freshman until he is chosen as The Ninja.,disney plus
TV Show,Muppet Babies Show and Tell (Shorts),2017,TV-Y7,"Animation, Kids",It's Show and Tell time in the playroom!,disney plus
TV Show,The Lodge,2016,TV-G,"Coming of Age, Drama, Musical",A city girl starts a new life in the country.,disney plus
TV Show,Wild Russia,2018,TV-PG,"Animals & Nature, Docuseries","From mountains to desert, volcanoes to ice, explore Russia’s scenic beauty and iconic wildlife.",disney plus
Movie,Destino,2003,PG,"Animation, Family, Romance",A collaboration begun in 1945 by Salvador Dalí and Walt Disney.,disney plus
Movie,Forky Asks a Question: What is Reading?,2020,TV-G,"Animation, Comedy, Family","The energetic Peas-n-a-Pod siblings teach Forky about reading, with a little help from Mr. Spell.",disney plus
Movie,Loop,2020,PG,"Animation, Family","Adrift on a lake, two kids with different ways of communicating attempt to connect.",disney plus
TV Show,Marvel's Runaways,2017,TV-14,"Coming of Age, Drama, Science Fiction",Six kids learn their parents hide a terrible secret.,disney plus
Movie,Aladdin (2019),2019,PG,"Action-Adventure, Family, Fantasy",From Disney comes the thrilling live-action adaptation of Aladdin.,disney plus
